time	V(vout)	V(n003)
1.835821017379479e-005	5.757888e+000	0.000000e+000
1.835821177366486e-005	5.757886e+000	0.000000e+000
1.835821337353492e-005	5.757885e+000	0.000000e+000
1.835821497340499e-005	5.757883e+000	0.000000e+000
1.835821657327505e-005	5.757881e+000	0.000000e+000
1.859275706280719e-005	5.495598e+000	0.000000e+000
1.882729755233932e-005	5.243999e+000	0.000000e+000
1.906183804187146e-005	5.003082e+000	0.000000e+000
1.929637853140360e-005	4.772849e+000	0.000000e+000
1.953091902093573e-005	4.553299e+000	0.000000e+000
1.976545951046787e-005	4.344431e+000	0.000000e+000
2.000000000000000e-005	4.146247e+000	0.000000e+000
2.000002596492469e-005	4.146226e+000	1.298246e-001
2.000005192984938e-005	4.146205e+000	2.596492e-001
2.000007789477407e-005	4.146183e+000	3.894739e-001
2.000010385969876e-005	4.146162e+000	5.192985e-001
2.000012982462345e-005	4.146140e+000	6.491231e-001
2.000015578954814e-005	4.146118e+000	7.789477e-001
2.000018175447283e-005	4.146097e+000	9.087723e-001
2.000018217289241e-005	4.146096e+000	9.108645e-001
2.000018259131199e-005	4.146096e+000	9.129566e-001
2.000018300973156e-005	4.146096e+000	9.150487e-001
2.000018342815114e-005	4.146096e+000	9.171408e-001
2.000018384657072e-005	4.146095e+000	9.192329e-001
2.000018426499029e-005	4.146095e+000	9.213249e-001
2.000018468340987e-005	4.146094e+000	9.234170e-001
2.000018562071201e-005	4.146094e+000	9.281036e-001
2.000018647603362e-005	4.146093e+000	9.323801e-001
2.000018732281148e-005	4.146092e+000	9.366140e-001
2.000018811502152e-005	4.146091e+000	9.405751e-001
2.000018890667092e-005	4.146091e+000	9.445333e-001
2.000018969151869e-005	4.146091e+000	9.484576e-001
2.000019053368410e-005	4.146090e+000	9.526684e-001
2.000019149983654e-005	4.146089e+000	9.574992e-001
2.000019287747234e-005	4.146088e+000	9.643874e-001
2.000019443958817e-005	4.146086e+000	9.721979e-001
2.000019635084752e-005	4.146085e+000	9.817542e-001
2.000019848556034e-005	4.146083e+000	9.924278e-001
2.000100000000000e-005	4.145419e+000	5.000000e+000
2.005096735764169e-005	4.105453e+000	5.000000e+000
2.010093471528338e-005	4.067253e+000	5.000000e+000
2.015090207292506e-005	4.030818e+000	5.000000e+000
2.020086943056675e-005	3.996149e+000	5.000000e+000
2.025083678820844e-005	3.963245e+000	5.000000e+000
2.030080414585012e-005	3.932107e+000	5.000000e+000
2.035077150349181e-005	3.902734e+000	5.000000e+000
2.064374025349181e-005	3.766209e+000	5.000000e+000
2.083905275349181e-005	3.708516e+000	5.000000e+000
2.093670900349181e-005	3.689373e+000	5.000000e+000
2.103436525349181e-005	3.676558e+000	5.000000e+000
2.113202150349181e-005	3.669961e+000	5.000000e+000
2.122967775349181e-005	3.669468e+000	5.000000e+000
2.132733400349181e-005	3.674961e+000	5.000000e+000
2.142499025349181e-005	3.686319e+000	5.000000e+000
2.152264650349181e-005	3.703418e+000	5.000000e+000
2.162030275349181e-005	3.726131e+000	5.000000e+000
2.181561525349180e-005	3.787876e+000	5.000000e+000
2.201092775349180e-005	3.870481e+000	5.000000e+000
2.220624025349180e-005	3.972838e+000	5.000000e+000
2.249920900349180e-005	4.160909e+000	5.000000e+000
2.279217775349180e-005	4.386901e+000	5.000000e+000
2.308514650349180e-005	4.646774e+000	5.000000e+000
2.337811525349179e-005	4.936432e+000	5.000000e+000
2.367108400349179e-005	5.251768e+000	5.000000e+000
2.396405275349179e-005	5.588692e+000	5.000000e+000
2.411218807442153e-005	5.767363e+000	5.000000e+000
2.426032339535128e-005	5.948708e+000	5.000000e+000
2.440845871628102e-005	6.132728e+000	5.000000e+000
2.455659403721077e-005	6.319421e+000	5.000000e+000
2.470472935814051e-005	6.508788e+000	5.000000e+000
2.485286467907026e-005	6.700830e+000	5.000000e+000
2.500100000000000e-005	6.895545e+000	5.000000e+000
2.500175000000279e-005	6.896530e+000	1.250000e+000
2.500177500000251e-005	6.896563e+000	1.125000e+000
2.500182500000195e-005	6.896628e+000	8.750000e-001
2.500182656250193e-005	6.896630e+000	8.671875e-001
2.500200000000000e-005	6.896858e+000	0.000000e+000
2.517273876654912e-005	7.104793e+000	0.000000e+000
2.534347753309824e-005	7.286674e+000	0.000000e+000
2.551421629964736e-005	7.442501e+000	0.000000e+000
2.568495506619647e-005	7.572274e+000	0.000000e+000
2.585569383274559e-005	7.675992e+000	0.000000e+000
2.602643259929471e-005	7.753657e+000	0.000000e+000
2.619717136584382e-005	7.805267e+000	0.000000e+000
2.629482761584382e-005	7.824471e+000	0.000000e+000
2.639248386584382e-005	7.835903e+000	0.000000e+000
2.649014011584382e-005	7.839702e+000	0.000000e+000
2.658779636584382e-005	7.836013e+000	0.000000e+000
2.668545261584382e-005	7.824984e+000	0.000000e+000
2.678310886584382e-005	7.806768e+000	0.000000e+000
2.688076511584382e-005	7.781521e+000	0.000000e+000
2.707607761584382e-005	7.710576e+000	0.000000e+000
2.727139011584382e-005	7.613469e+000	0.000000e+000
2.746670261584382e-005	7.491567e+000	0.000000e+000
2.775967136584382e-005	7.265306e+000	0.000000e+000
2.805264011584381e-005	6.991312e+000	0.000000e+000
2.824795261584381e-005	6.784595e+000	0.000000e+000
2.834560886584381e-005	6.674582e+000	0.000000e+000
2.844326511584381e-005	6.560385e+000	0.000000e+000
2.854092136584381e-005	6.442247e+000	0.000000e+000
2.863857761584381e-005	6.321316e+000	0.000000e+000
2.863866321142870e-005	6.321209e+000	0.000000e+000
2.863883440259849e-005	6.320992e+000	0.000000e+000
2.863884583967694e-005	6.320978e+000	0.000000e+000
2.863884922302637e-005	6.320974e+000	0.000000e+000
2.863884958994148e-005	6.320973e+000	0.000000e+000
2.863884982045551e-005	6.320973e+000	0.000000e+000
2.863885019467778e-005	6.320972e+000	0.000000e+000
2.863885057595840e-005	6.320972e+000	0.000000e+000
2.863885132165714e-005	6.320971e+000	0.000000e+000
2.863885204992838e-005	6.320970e+000	0.000000e+000
2.863885277819963e-005	6.320969e+000	0.000000e+000
2.863885350647088e-005	6.320968e+000	0.000000e+000
2.863885423474213e-005	6.320967e+000	0.000000e+000
2.863885496301337e-005	6.320966e+000	0.000000e+000
2.863885569128462e-005	6.320966e+000	0.000000e+000
2.863885641955587e-005	6.320965e+000	0.000000e+000
2.883330550247646e-005	6.081000e+000	0.000000e+000
2.902775458539705e-005	5.849289e+000	0.000000e+000
2.922220366831764e-005	5.625829e+000	0.000000e+000
2.941665275123823e-005	5.410622e+000	0.000000e+000
2.961110183415882e-005	5.203668e+000	0.000000e+000
2.980555091707941e-005	5.004967e+000	0.000000e+000
3.000000000000000e-005	4.814517e+000	0.000000e+000
3.000018138413901e-005	4.814343e+000	9.069207e-001
3.000018346000892e-005	4.814341e+000	9.173000e-001
3.000018427356067e-005	4.814340e+000	9.213678e-001
3.000018513051250e-005	4.814339e+000	9.256526e-001
3.000018596366304e-005	4.814338e+000	9.298183e-001
3.000018679168499e-005	4.814338e+000	9.339584e-001
3.000018758730898e-005	4.814337e+000	9.379365e-001
3.000018837223464e-005	4.814336e+000	9.418612e-001
3.000018914612820e-005	4.814335e+000	9.457306e-001
3.000018994383348e-005	4.814334e+000	9.497192e-001
3.000019080592692e-005	4.814334e+000	9.540296e-001
3.000019185276115e-005	4.814333e+000	9.592638e-001
3.000019353862243e-005	4.814331e+000	9.676931e-001
3.000019539867002e-005	4.814329e+000	9.769933e-001
3.000019734340875e-005	4.814327e+000	9.867170e-001
3.000020452100665e-005	4.814321e+000	1.022605e+000
3.000100000000000e-005	4.813555e+000	5.000000e+000
3.003202077991134e-005	4.784259e+000	5.000000e+000
3.006304155982267e-005	4.755651e+000	5.000000e+000
3.009406233973401e-005	4.727732e+000	5.000000e+000
3.012508311964535e-005	4.700502e+000	5.000000e+000
3.015610389955669e-005	4.673959e+000	5.000000e+000
3.018712467946802e-005	4.648106e+000	5.000000e+000
